0,Pilot
1,Tacoma
2,MDX
3,Tahoe
4,A4
5,Fusion
6,NX
7,Durango
8,Corsair
9,Malibu
10,3 Series Convertible
11,Model S
12,1500
13,Silverado 1500
14,Truck
15,F-150
16,5 Series
17,Sonata
18,Altima
19,Suburban
20,RAV4
21,Outback
22,tC
23,Pacifica
24,Cayenne
25,Telluride
26,Ranger
27,Voyager
28,Odyssey
29,Regal
30,Transit Connect
31,Camry
32,Trailblazer
33,Silverado
34,Sportage
35,Rogue
36,Wrangler
37,Highlander
38,Elantra
39,Outlander
40,Grand Cherokee
41,CX-5
42,Civic
43,Corolla
44,A5 Cabriolet
45,Cruze
46,CR-V
47,Explorer
48,Accord
49,CX-30
50,TSX
51,4Runner
52,Frontier
53,Xterra
54,3 Hatchback
55,Charger
56,Crosstrek
57,Kona
58,Escape
59,Beetle
60,CR-V (older)
61,Acadia
62,Equinox
63,Maverick
64,Yukon
65,Pathfinder
66,Silverado 3500HD
67,Sorento
68,Compass
69,F-150 Raptor
